epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7083,1.30758,2.92324,1.6944,0.00337,0.95455,0.34531,0.2768,0.49276,3.38142,1.18848,0.00010002,0.00010002,0.00010002
2,43.0104,0.76612,2.37468,1.28637,0.00363,0.95455,0.61523,0.54711,0.39834,3.29778,1.04608,0.000212419,0.000212419,0.000212419
3,58.7565,0.81661,1.99906,1.3164,0.00361,0.95455,0.63194,0.5565,0.4502,3.10607,1.06402,0.000320197,0.000320197,0.000320197
4,74.5143,0.74399,1.78349,1.21739,0.00391,0.95455,0.54507,0.38082,1.0228,3.60292,1.6555,0.000423355,0.000423355,0.000423355
5,90.0604,0.75482,1.70137,1.22961,0.56003,0.9477,0.66262,0.54074,0.68151,2.44275,1.29484,0.000521891,0.000521891,0.000521891
6,105.673,0.7111,1.52534,1.24327,0.50002,0.95455,0.68062,0.52088,0.66695,2.23161,1.2912,0.000615806,0.000615806,0.000615806
7,121.189,0.73258,1.35317,1.1897,0.66756,0.95455,0.80616,0.66321,0.65013,2.17426,1.28858,0.000705101,0.000705101,0.000705101
8,136.807,0.75639,1.32176,1.22163,0.73672,0.86364,0.90974,0.75422,0.7425,2.07519,1.40991,0.000789775,0.000789775,0.000789775
9,152.368,0.78074,1.35839,1.24779,0.72152,0.75176,0.92691,0.73529,0.82387,1.99005,1.59284,0.000869827,0.000869827,0.000869827
10,168.021,0.77789,1.30517,1.20664,0.73012,0.86251,0.94261,0.7613,0.76473,1.87808,1.56537,0.000945259,0.000945259,0.000945259
11,183.718,0.71892,1.2534,1.18386,0.99401,0.95455,0.9501,0.83598,0.57594,1.45679,1.20993,0.00101607,0.00101607,0.00101607
12,199.214,0.7702,1.21009,1.19098,0.86704,0.95455,0.9501,0.83779,0.61858,1.54331,1.3209,0.00108226,0.00108226,0.00108226
13,214.811,0.70051,1.27251,1.16688,0.98409,0.95455,0.9501,0.7859,0.79486,1.57567,1.67174,0.00114383,0.00114383,0.00114383
14,230.117,0.74776,1.17925,1.21178,0.98409,0.95455,0.9501,0.7859,0.79486,1.57567,1.67174,0.00120078,0.00120078,0.00120078
15,245.566,0.73504,1.24959,1.19714,0.79862,0.92756,0.95009,0.81995,0.68186,2.05397,1.28086,0.00120491,0.00120491,0.00120491
16,261.056,0.72654,1.28932,1.2472,0.71349,0.95455,0.95009,0.82374,0.60584,1.98101,1.17407,0.0011719,0.0011719,0.0011719
17,277,0.70495,1.18964,1.19064,0.98368,0.95455,0.95009,0.82752,0.559,1.46158,1.16315,0.00113889,0.00113889,0.00113889
18,292.899,0.67519,1.07969,1.0955,0.98902,0.92831,0.95008,0.83222,0.62401,1.52254,1.22105,0.00110589,0.00110589,0.00110589
19,308.236,0.71487,1.11539,1.16423,0.71527,0.89431,0.93854,0.78235,0.76098,2.0829,1.34477,0.00107288,0.00107288,0.00107288
20,323.43,0.74892,1.16434,1.21619,0.79521,0.86485,0.95008,0.77869,0.76806,1.76809,1.35231,0.00103987,0.00103987,0.00103987
21,338.896,0.6522,1.14644,1.16326,0.98418,0.95455,0.95008,0.74797,0.75621,1.59074,1.31729,0.00100687,0.00100687,0.00100687
22,354.076,0.68191,1.12806,1.12615,0.98418,0.95455,0.95008,0.74797,0.75621,1.59074,1.31729,0.000973861,0.000973861,0.000973861
23,369.555,0.6935,1.05477,1.1776,0.97544,0.95455,0.95008,0.74325,0.74934,1.42455,1.30606,0.000940855,0.000940855,0.000940855
24,384.721,0.67999,1.19068,1.20858,0.98704,0.95455,0.95008,0.79683,0.66496,1.26408,1.25796,0.000907848,0.000907848,0.000907848
25,400.054,0.59289,0.99636,1.06663,0.91249,0.94964,0.95008,0.8123,0.6135,1.39262,1.17833,0.000874842,0.000874842,0.000874842
26,415.366,0.64615,0.95351,1.10295,0.87178,0.86365,0.95008,0.79861,0.61547,1.69157,1.1882,0.000841835,0.000841835,0.000841835
27,430.768,0.61268,0.97326,1.16615,0.88014,0.9131,0.95008,0.81703,0.61277,1.65599,1.16937,0.000808828,0.000808828,0.000808828
28,445.967,0.61899,1.01732,1.12558,0.98248,0.95455,0.95008,0.80568,0.65485,1.26461,1.19762,0.000775822,0.000775822,0.000775822
29,461.353,0.60594,0.98601,1.07273,0.95487,0.94993,0.95008,0.80713,0.71661,1.16329,1.27153,0.000742815,0.000742815,0.000742815
30,476.601,0.59732,0.89572,1.08986,0.95487,0.94993,0.95008,0.80713,0.71661,1.16329,1.27153,0.000709809,0.000709809,0.000709809
31,491.899,0.56982,0.89987,1.0966,0.91949,0.94865,0.95008,0.83286,0.65809,1.12826,1.21948,0.000676802,0.000676802,0.000676802
32,507.477,0.58634,0.88315,1.06596,0.93645,0.9505,0.95008,0.83115,0.58455,1.02247,1.14401,0.000643795,0.000643795,0.000643795
33,522.99,0.5345,0.93844,1.08609,0.98058,0.95455,0.95008,0.82606,0.59671,1.03616,1.16241,0.000610789,0.000610789,0.000610789
34,538.202,0.53461,0.8237,1.03706,0.98301,0.95455,0.95008,0.82129,0.60989,1.05668,1.182,0.000577782,0.000577782,0.000577782
35,553.467,0.53222,0.81158,1.02465,0.9865,0.95455,0.95008,0.81517,0.65065,1.115,1.23741,0.000544776,0.000544776,0.000544776
36,568.779,0.55708,0.85113,1.05294,0.98873,0.95455,0.95008,0.79813,0.71918,1.11956,1.32509,0.000511769,0.000511769,0.000511769
37,583.911,0.63481,0.84152,1.10646,0.98982,0.95455,0.95008,0.79496,0.69919,1.10281,1.32186,0.000478762,0.000478762,0.000478762
38,599.078,0.56773,0.86462,1.09955,0.98982,0.95455,0.95008,0.79496,0.69919,1.10281,1.32186,0.000445756,0.000445756,0.000445756
39,614.379,0.58258,0.86168,1.07692,0.98909,0.95455,0.95008,0.82722,0.60338,1.08455,1.19696,0.000412749,0.000412749,0.000412749
40,629.863,0.56292,0.8955,1.07209,0.99086,0.95455,0.95008,0.84344,0.58125,1.07793,1.17811,0.000379743,0.000379743,0.000379743
41,645.7,0.44732,1.15085,0.99711,0.99237,0.95455,0.95008,0.82215,0.60036,1.09944,1.2345,0.000346736,0.000346736,0.000346736
42,662.087,0.44691,1.18694,1.02802,0.99295,0.95455,0.95008,0.80347,0.66713,1.15892,1.35861,0.000313729,0.000313729,0.000313729
43,678.387,0.44061,1.15708,1.0365,0.98887,0.9522,0.95008,0.77235,0.75538,1.27856,1.47438,0.000280723,0.000280723,0.000280723
44,695.297,0.47906,1.1519,1.03742,0.98135,0.95168,0.95008,0.76964,0.76889,1.30709,1.48503,0.000247716,0.000247716,0.000247716
45,711.671,0.40976,1.17286,1.01361,0.97468,0.95243,0.95008,0.77874,0.71155,1.24155,1.39557,0.00021471,0.00021471,0.00021471
46,728.393,0.46382,1.15734,1.00935,0.97468,0.95243,0.95008,0.77874,0.71155,1.24155,1.39557,0.000181703,0.000181703,0.000181703
47,745.216,0.40248,1.16953,0.94929,0.97636,0.95455,0.95008,0.80717,0.64754,1.15774,1.29437,0.000148696,0.000148696,0.000148696
48,760.551,0.42512,1.08435,1.01938,0.98011,0.95455,0.95008,0.81487,0.60466,1.08873,1.22527,0.00011569,0.00011569,0.00011569
49,775.839,0.42498,1.05416,0.96373,0.98136,0.95455,0.95008,0.81627,0.58171,1.04622,1.18533,8.26832e-05,8.26832e-05,8.26832e-05
50,791.518,0.39429,1.01379,0.94905,0.98214,0.95455,0.95008,0.82177,0.57228,1.02175,1.17069,4.96766e-05,4.96766e-05,4.96766e-05
